"Item + description (per 100g)","Calories (kcal per 100g)","Protein (g per 100g)","Carbs (g per 100g)","Fats (g per 100g)"
"Bamboo shoots, cooked, boiled, drained, with salt","11","1.53","1.52","0.22"
"Bamboo shoots, raw","27","2.6","5.2","0.3"
"Banana chips","519","2.3","58.4","33.6"
"Banana nectar","74","0.26","18.01","0.13"
"Banana pudding","160","2.57","28","4.26"
"Banana split","199","2.42","32.59","6.88"
"Banana, baked","161","0.82","32.43","3.21"
"Banana, raw","97","0.74","22.71","0.28"
"Bananas, dehydrated, or banana powder","346","3.89","88.28","1.81"
"Bananas, overripe, raw","85","0.73","20.1","0.22"
"Bananas, ripe and slightly ripe, raw","97","0.74","23","0.29"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared","155","6.89","6.96","11.1"
"Bao bun","273","11.17","39.78","7.58"
"Bao bun, no meat","268","6.73","54.27","2.94"
"Baobab powder","250","3.69","79.65","0.47"
"Barbecue beef sandwich, on wheat bun","240","17.02","23.3","8.52"
"Barbecue beef sandwich, on white bun","245","16.48","24.86","8.5"
"Barbecue beef, no sauce","252","27.97","0","15.15"
"Barbecue beef, with sauce","228","19.83","12.23","10.79"
"Barbecue chicken","167","19","12.23","4.64"
"Barbecue chicken sandwich, on wheat bun","199","16.47","23.3","4.42"
"Barbecue chicken sandwich, on white bun","204","15.92","24.86","4.4"
"Barbecue loaf, pork, beef","173","15.84","6.4","8.9"
"Barbecue meat, NFS","226","18.14","12.23","11.17"
"Barbecue pork sandwich, on wheat bun","238","15.52","23.3","8.86"
"Barbecue pork sandwich, on white bun","243","14.97","24.86","8.83"
"Barbecue pork, no sauce","249","24.75","0","15.87"
"Barbecue pork, with sauce","226","17.57","12.23","11.3"
"Barbecue rib sandwich","223","13.66","26.5","6.47"
"Barbecue sandwich, NFS","238","15.34","24.86","8.12"
"Barbecue sauce","172","0.82","40.77","0.63"
"Barfi or Burfi, Indian dessert","284","5.42","40.43","11.36"
"Barley","139","2.2","27.23","2.74"
"Barley flour or meal","345","10.5","74.52","1.6"
"Barley malt flour","361","10.28","78.3","1.84"
"Barley, hulled","354","12.48","73.48","2.3"
"Barley, pearled, cooked","123","2.26","28.22","0.44"
"Barley, pearled, raw","352","9.91","77.72","1.16"
"Basbousa","282","4.81","43.76","9.94"
"Basil, fresh","23","3.15","2.65","0.64"
"Bean cake","414","5.8","49.88","21.41"
"Bean chips","448","14.6","53.12","21.58"
"Bean dip, made with refried beans","119","5.44","15.89","3.7"
"Bean paste, sweetened","226","6.22","49.98","0.47"
"Bean salad, yellow and/or green string beans","109","3.52","13","5"
"Bean sprouts, cooked","116","9.8","6.08","6.93"
"Bean sprouts, raw","30","3.04","5.94","0.18"
"Beans and brown rice","162","6.4","24.29","4.54"
"Beans and franks","138","6.74","17.29","5.22"
"Beans and rice, from fast food / restaurant","185","6.29","24.41","6.99"
"Beans and rice, with meat","162","7.49","23.54","4.24"
"Beans and rice, with tomatoes","137","4.7","21.9","3.46"
"Beans and tomatoes, fat added","142","6.05","17.84","5.58"
"Beans and tomatoes, no added fat","101","6.37","18.76","0.51"
"Beans and white rice","164","6.5","25.19","4.21"
"Beans with meat, NS as to type","184","10.7","20.56","6.88"
"Beans, adzuki, mature seed, cooked, boiled, with salt","128","7.52","24.77","0.1"
"Beans, adzuki, mature seeds, canned, sweetened","237","3.8","55.01","0.03"
"Beans, adzuki, mature seeds, raw","329","19.87","62.9","0.53"
"Beans, baked, canned, no salt added","105","4.8","20.49","0.4"
"Beans, baked, canned, with beef","121","6.38","16.91","3.45"
"Beans, baked, canned, with franks","142","6.75","15.39","6.57"
"Beans, baked, canned, with pork","106","5.19","19.99","1.55"
"Beans, baked, canned, with pork and tomato sauce","94","5.15","18.69","0.93"
"Beans, baked, home prepared","155","5.54","21.63","5.15"
"Beans, black turtle, mature seeds, canned","91","6.03","16.55","0.29"
"Beans, black turtle, mature seeds, raw","339","21.25","63.25","0.9"
"Beans, chili, barbecue, ranch style, cooked","97","5","16.9","1"
"Beans, cranberry (roman), mature seeds, canned","83","5.54","15.12","0.28"
"Beans, cranberry (roman), mature seeds, raw","335","23.03","60.05","1.23"
"Beans, fava, in pod, raw","88","7.92","17.63","0.73"
"Beans, french, mature seeds, raw","343","18.81","64.11","2.02"
"Beans, from canned, NS as to type, fat added","185","7.66","24.1","6.83"
"Beans, from fast food / restaurant, NS as to type","206","8.77","22.6","9.32"
"Beans, great northern, mature seeds, cooked, boiled, with salt","118","8.33","21.09","0.45"
"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, with salt","33","4.83","4.72","0.58"
"Beans, kidney, red, mature seeds, raw","337","22.53","61.29","1.06"
"Beans, kidney, royal red, mature seeds, raw","329","25.33","58.33","0.45"
"Beans, liquid from stewed kidney beans","47","1.8","2.8","3.2"
"Beans, mung, mature seeds, sprouted, canned, drained solids","12","1.4","2.14","0.06"
